4, 3, 2, 
4, 2, 1, 
6, 5, 3, 
6, 3, 4, 
8, 7, 5, 
8, 5, 6, 
10, 9, 7, 
10, 7, 8, 
12, 11, 9, 
12, 9, 10, 
14, 13, 11, 
14, 11, 12, 
16, 15, 13, 
16, 13, 14, 
18, 17, 15, 
18, 15, 16, 
20, 19, 17, 
20, 17, 18, 
22, 21, 19, 
22, 19, 20, 
24, 23, 21, 
24, 21, 22, 
26, 25, 23, 
26, 23, 24, 
28, 27, 25, 
28, 25, 26, 
30, 29, 27, 
30, 27, 28, 
32, 31, 29, 
32, 29, 30, 
34, 33, 31, 
34, 31, 32, 
36, 35, 33, 
36, 33, 34, 
38, 37, 35, 
38, 35, 36, 
40, 39, 37, 
40, 37, 38, 
42, 41, 39, 
42, 39, 40, 
44, 43, 41, 
44, 41, 42, 
46, 45, 43, 
46, 43, 44, 
48, 47, 45, 
48, 45, 46, 
50, 49, 47, 
50, 47, 48, 
52, 51, 49, 
52, 49, 50, 
54, 53, 51, 
54, 51, 52, 
56, 55, 53, 
56, 53, 54, 
58, 57, 55, 
58, 55, 56, 
3, 60, 59, 
3, 59, 2, 
5, 61, 60, 
5, 60, 3, 
7, 62, 61, 
7, 61, 5, 
9, 63, 62, 
9, 62, 7, 
11, 64, 63, 
11, 63, 9, 
13, 65, 64, 
13, 64, 11, 
15, 66, 65, 
15, 65, 13, 
17, 67, 66, 
17, 66, 15, 
19, 68, 67, 
19, 67, 17, 
21, 69, 68, 
21, 68, 19, 
23, 70, 69, 
23, 69, 21, 
25, 71, 70, 
25, 70, 23, 
27, 72, 71, 
27, 71, 25, 
29, 73, 72, 
29, 72, 27, 
31, 74, 73, 
31, 73, 29, 
33, 75, 74, 
33, 74, 31, 
35, 76, 75, 
35, 75, 33, 
37, 77, 76, 
37, 76, 35, 
39, 78, 77, 
39, 77, 37, 
41, 79, 78, 
41, 78, 39, 
43, 80, 79, 
43, 79, 41, 
45, 81, 80, 
45, 80, 43, 
47, 82, 81, 
47, 81, 45, 
49, 83, 82, 
49, 82, 47, 
51, 84, 83, 
51, 83, 49, 
53, 85, 84, 
53, 84, 51, 
55, 86, 85, 
55, 85, 53, 
57, 87, 86, 
57, 86, 55, 
60, 89, 88, 
60, 88, 59, 
61, 90, 89, 
61, 89, 60, 
62, 91, 90, 
62, 90, 61, 
63, 92, 91, 
63, 91, 62, 
64, 93, 92, 
64, 92, 63, 
65, 94, 93, 
65, 93, 64, 
66, 95, 94, 
66, 94, 65, 
67, 96, 95, 
67, 95, 66, 
68, 97, 96, 
68, 96, 67, 
69, 98, 97, 
69, 97, 68, 
70, 99, 98, 
70, 98, 69, 
71, 100, 99, 
71, 99, 70, 
72, 101, 100, 
72, 100, 71, 
73, 102, 101, 
73, 101, 72, 
74, 103, 102, 
74, 102, 73, 
75, 104, 103, 
75, 103, 74, 
76, 105, 104, 
76, 104, 75, 
77, 106, 105, 
77, 105, 76, 
78, 107, 106, 
78, 106, 77, 
79, 108, 107, 
79, 107, 78, 
80, 109, 108, 
80, 108, 79, 
81, 110, 109, 
81, 109, 80, 
82, 111, 110, 
82, 110, 81, 
83, 112, 111, 
83, 111, 82, 
84, 113, 112, 
84, 112, 83, 
85, 114, 113, 
85, 113, 84, 
86, 115, 114, 
86, 114, 85, 
87, 116, 115, 
87, 115, 86, 
89, 118, 117, 
89, 117, 88, 
90, 119, 118, 
90, 118, 89, 
91, 120, 119, 
91, 119, 90, 
92, 121, 120, 
92, 120, 91, 
93, 122, 121, 
93, 121, 92, 
94, 123, 122, 
94, 122, 93, 
95, 124, 123, 
95, 123, 94, 
96, 125, 124, 
96, 124, 95, 
97, 126, 125, 
97, 125, 96, 
98, 127, 126, 
98, 126, 97, 
99, 128, 127, 
99, 127, 98, 
100, 129, 128, 
100, 128, 99, 
101, 130, 129, 
101, 129, 100, 
102, 131, 130, 
102, 130, 101, 
103, 132, 131, 
103, 131, 102, 
104, 133, 132, 
104, 132, 103, 
105, 134, 133, 
105, 133, 104, 
106, 135, 134, 
106, 134, 105, 
107, 136, 135, 
107, 135, 106, 
108, 137, 136, 
108, 136, 107, 
109, 138, 137, 
109, 137, 108, 
110, 139, 138, 
110, 138, 109, 
111, 140, 139, 
111, 139, 110, 
112, 141, 140, 
112, 140, 111, 
113, 142, 141, 
113, 141, 112, 
114, 143, 142, 
114, 142, 113, 
115, 144, 143, 
115, 143, 114, 
116, 145, 144, 
116, 144, 115, 
118, 147, 146, 
118, 146, 117, 
119, 148, 147, 
119, 147, 118, 
120, 149, 148, 
120, 148, 119, 
121, 150, 149, 
121, 149, 120, 
122, 151, 150, 
122, 150, 121, 
123, 152, 151, 
123, 151, 122, 
124, 153, 152, 
124, 152, 123, 
125, 154, 153, 
125, 153, 124, 
126, 155, 154, 
126, 154, 125, 
127, 156, 155, 
127, 155, 126, 
128, 157, 156, 
128, 156, 127, 
129, 158, 157, 
129, 157, 128, 
130, 159, 158, 
130, 158, 129, 
131, 160, 159, 
131, 159, 130, 
132, 161, 160, 
132, 160, 131, 
133, 162, 161, 
133, 161, 132, 
134, 163, 162, 
134, 162, 133, 
135, 164, 163, 
135, 163, 134, 
136, 165, 164, 
136, 164, 135, 
137, 166, 165, 
137, 165, 136, 
138, 167, 166, 
138, 166, 137, 
139, 168, 167, 
139, 167, 138, 
140, 169, 168, 
140, 168, 139, 
141, 170, 169, 
141, 169, 140, 
142, 171, 170, 
142, 170, 141, 
143, 172, 171, 
143, 171, 142, 
144, 173, 172, 
144, 172, 143, 
145, 174, 173, 
145, 173, 144, 
147, 176, 175, 
147, 175, 146, 
148, 177, 176, 
148, 176, 147, 
149, 178, 177, 
149, 177, 148, 
150, 179, 178, 
150, 178, 149, 
151, 180, 179, 
151, 179, 150, 
152, 181, 180, 
152, 180, 151, 
153, 182, 181, 
153, 181, 152, 
154, 183, 182, 
154, 182, 153, 
155, 184, 183, 
155, 183, 154, 
156, 185, 184, 
156, 184, 155, 
157, 186, 185, 
